id,nome,jogo_id,pais_id
630,BAATARSUKH Chinzorig,21,132
631,BAATTH Simranjit Kaur,21,43
632,BAAUW Judy,35,10
633,BABA Yudai,5,25
634,BABAMURATOVA Gulbadam,14,128
635,BABAYEV Nazim,12,9
636,BABEK Tomas,40,120
637,BABINTSEVA Aleksandra,14,33
638,BABNIK Pia,41,133
639,BABOVIC Anastasija,6,121
640,BABRIS Helvijs,35,78
641,BACCI Lorenzo,15,4
642,BACCUS Keanu,17,11
643,BACH Helena,7,115
644,BACH Marta,32,3
645,BACHA Aymen,22,46
646,BACHER Florian,38,31
647,BACHMANN Alexander,18,20
648,BACHMANN Simon,7,131
649,BACMAGA Dominika,12,51
650,BACON Phoebe,7,12
651,BACOSI Diana,15,4
652,BADAWY Aly,26,14
653,BADENHORST Nardus,32,37
654,BADLOE Kiran,26,10
655,BADOSA Paula,39,3
656,BAE Hyeyoon,5,112
657,BAE Sanghee,15,112
658,BAGNIS Facundo,39,85
659,BAH Mamadou,7,134
660,BAH Mamadou Samba,14,134
661,BAHLOUL Ramzi,22,46
662,BAHMANYAR Sara,8,8
663,BAHTA Meraf,12,55
664,BAHUTSKI Yauheni,12,107
665,BAI Li,12,72
666,BAILEY JR Aldrich,12,12
667,BAILEY Sean,12,94
668,BAILLEUL Margaux,4,5
669,BAILLY Eric,17,70
670,BAJIC Stefan,17,5
671,BAJOR Natalia,16,51
672,BAJRANG Bajrang,9,43
673,BAJWA Angad Vir Singh,15,43
674,BAKER Georgia,40,11
675,BAKER Kurt,36,113
676,BAKER Nicklas,12,56
677,BAKER Perry,36,12
678,BAKER Ronnie,12,12
679,BAKI Abdullah Hel,15,68
680,BAKKER Billy,27,10
681,BAKSHI Gleb,21,33
682,BALADIN Hande,37,54
683,BALANDIN Dmitriy,7,23
684,BALASTEGUI Manel,4,3
685,BALAZOVA Barbora,16,135
686,BALDASSARRI Milena,10,4
687,BALDUCCINI Stephanie,7,53
688,BALDWIN Roldani,11,100
689,BALEIWAIRIKI Iosefo Masikau,36,136
690,BALEW Birhanu,12,24
691,BALK Lars,27,10
692,BALKAN Onur,2,54
693,BALLA Virag,34,57
694,BALLEZA ISAIAS Jose,24,47
695,BALLO Stefano,7,4
696,BALMACEDA Rosario,17,6
697,BALOGH Matyas Laszlo,23,57
698,BALOGUN Elizabeth,5,45
699,BALOYES Bernardo,12,48
700,BALSAMO Elisa,40,4
701,BALSDON Grace,27,56
702,BALSIGER Bryan,38,36
703,BALSINI Matin,7,8
704,BALTACI Ozkan,12,54
705,BALUTA Tudor,17,50
706,BALVIN Ondrej,5,120
707,BALZER Sara,19,5
708,BANDA Babra,17,137
709,BANDARENKA Vitali,21,107
710,BANDEIRA FRAGA Samory Uiki,12,53
711,BANDO Yuta,12,25
712,BANICEVIC Dusan,32,121
713,BANN Blair Cameron,37,27
714,BANSLEY Heather,25,27
715,BANTI Caterina,26,4
716,BANUELOS Manuel,11,47
717,BANZERUK Ivan,12,87
718,BAO Shanju,40,72
719,BAO Yingfeng,38,72
720,BAPTISTA Luisa,30,53
721,BAPTISTA Messias,34,40
722,BAPTISTE Kelly-Ann,12,71
723,BAQUERIZO McMILLAN Elsa,25,3
724,BAR AM Noya,26,97
725,BAR Juan Manuel,6,85
726,BARABANOV Mykyta,12,87
727,BARAKAT Hanna,12,42
728,BARANCHUK Anna,36,33
729,BARANKOVA Denisa,23,135
730,BARANOVA Varvara,34,33
731,BARANSKI Fabian,4,51
732,BARBACHAN Ana,26,53
733,BARBANCON Morgan,38,5
734,BARBARA,17,53
735,BARBELIN Lisa,23,5
736,BARBER Kelsey-Lee,12,11
737,BARBERENA MERCADO Edwin Orlando,15,138
738,BARBIERI Rachele,40,4
739,BARBOSA Eduardo,14,53
740,BARBOSA Kurt Bryan,18,116
741,BARCELO MARTIN Paula,26,3
742,BARD Melvin,17,5
743,BARDACH MARTIN Virginia,7,85
744,BARDENET Alexandre,19,5
745,BARDI dos SANTOS Felipe,12,53
746,BAREGA Selemon,12,26
747,BARKER Elinor,40,56
748,BARNA Andrej,7,86
749,BARNES David,23,11
750,BARNES Emre Zafer,12,54
751,BARNES Nikole,26,12
752,BARNIAK Tomasz,34,51
753,BARONA Dominic,33,110
754,BARR Thomas,12,93
755,BARRAS Tom,4,56
756,BARRATT Jordyn,42,12
757,BARREDA Manuel,11,47
758,BARRETT Danny,36,12
759,BARRETT Stephanie,23,27
760,BARRETTE Hugo,40,27
761,BARRIE Maggie,12,139
762,BARRIONUEVO Maria Noel,27,85
763,BARRIOS Anriquelis,14,104
764,BARRIOS NAVARRO Laura,27,3
765,BARRIOS Tomas,39,6
766,BARRONDO Bernardo Uriel,12,140
767,BARRONDO Erick Bernabe,12,140
768,BARRONDO Jose Alejandro,12,140
769,BARROS Pedro,42,53
770,BARSEGHYAN Artur,7,65
771,BARSHIM Mutaz Essa,12,13
