id,nome,nome_anteriorjogo_id,pais_id,event_id
319,SAMMELVUO Tuomas,ABE Junya,37,33,2
320,SARTI Ronald,ABE Junya,37,104,2
321,SAVIC Dejan,ALEKNO Vladimir,32,86,3
322,SAVIC Maja,AGEBA Yuya,6,121,2
323,SCARIOLO Sergio,ABE Katsuhiko,5,3,0
324,SCHILLING April,ABE Katsuhiko,5,45,2
325,SEKULIC Aleksander,ABE Katsuhiko,5,133,2
326,SEO Chun Oh,ALEKNO Vladimir,36,112,3
327,SERMANNI Tom,ABDELMAGID Wael,17,113,2
328,SHAHINTAB Mehran,ABE Katsuhiko,5,8,0
329,SHAHNAZI Shahbaz,ALEKNO Vladimir,13,31,3
330,SHAW Graham,AGEBA Yuya,27,113,2
331,SHAWKY Gharib,ABDELMAGID Wael,17,14,0
332,SIAM Zaghloul,ABDELMAGID Wael,17,14,2
333,SIGURDSSON Dagur,ABE Junya,6,25,2
334,SIMIYU Innocent,AGEBA Yuya,36,64,2
335,SINGH Shivendra,AGEBA Yuya,27,43,2
336,SMITH Darren,AIKMAN Siegfried Gottlieb,27,113,14
337,SMITH Mark,AGEBA Yuya,11,27,2
338,SOLBERG Glenn,AGEBA Yuya,6,55,2
339,SOYEZ Frederic,AGEBA Yuya,27,3,2
340,SPERAW John,ABE Junya,37,12,7
341,SPERONI Stefania,ALEKNO Vladimir,13,56,3
342,STALEY Dawn,ABE Katsuhiko,5,12,0
343,STANIFORTH Dave,AIKMAN Siegfried Gottlieb,27,11,0
344,STAS Jacques,ABE Katsuhiko,5,15,3
345,SUNDHAGE Pia Mariane,ABDELMAGID Wael,17,53,7
346,SVETLICHNAYA Aliona,BASILIO Mel,13,107,7
347,SZAUDER Gabor,ALAMEDA Lonni,13,27,8
348,SZAUDER Gabor,ALAMEDA Lonni,13,27,0
349,SZAUDER Nora,BASSO Paola,13,135,0
350,TAGLE German,ABDELMAGID Wael,17,6,3
351,TAKAKURA Asako,ABDELMAGID Wael,17,25,0
352,TAKITA Risako,ABE Junya,13,25,14
353,TARR Heather,ALAMEDA Lonni,11,12,7
354,TARRES CAMPA Ana,BASSO Paola,13,103,8
355,TARRES CAMPA Ana,ALEKNO Vladimir,13,103,3
356,TERZIC Zoran,ABE Junya,37,86,3
357,THOMAIDIS Lisa,ABE Katsuhiko,5,27,2
358,TILLIE Laurent,ABE Junya,37,5,0
359,TOMOMATSU Yumiko,AGEBA Yuya,13,4,2
360,TUCAK Ivica,AGEBA Yuya,32,149,2
361,TURNER Glenn,AIKMAN Siegfried Gottlieb,27,113,0
362,UDOKA Ime,ABE Katsuhiko,5,12,2
363,UDOVICIC Dejan,ANDONOVSKI Vlatko,32,12,0
364,UTKIN Volodymyr,AL SAADI Kais,13,87,14
365,UTSUGI Reika,ABE Junya,11,25,3
366,van GINKEL Robin,AIKMAN Siegfried Gottlieb,27,37,0
367,van GUNDY Jeff,ABE Katsuhiko,5,12,0
368,VASQUEZ Diego,ABE Katsuhiko,5,104,0
369,VEGA HERRERO Anna,ALLER CARBALLO Manuel Angel,13,3,0
370,VILLEGAS Orlando,ABE Junya,37,104,0
371,VITORINO de SOUZA Marcelo,ABE Junya,37,64,3
372,VIVER ARZA Carlos Enrique,AGEBA Yuya,6,3,2
373,VLACHOS Theodoros,BASILIO Mel,32,103,7
374,VORONOVA Elena,ALEKSEEV Alexey,13,33,0
375,WALL Michael,ABE Junya,37,12,2
376,WALSH Tim,ARNOLD Graham,36,11,7
377,WANG Jie,BAO Zhuang,13,72,8
378,WANG Jie,ALEKNO Vladimir,13,72,3
379,WANG Yang,AIKMAN Siegfried Gottlieb,27,72,15
380,WEINSTEIN Jerry,ALAMEDA Lonni,11,12,3
381,WIEGMAN Sarina,ABDELMAGID Wael,17,10,0
382,WIRTH Oscar,ABDELMAGID Wael,17,6,0
383,WOELFLIN Roberto Osvaldo,ABE Junya,37,85,0
384,WOICKI Pawel,ABE Junya,37,51,0
385,WRIGHT Jerold,ABE Katsuhiko,5,12,3
386,XU Limin,ABE Katsuhiko,5,72,14
387,YAMAJI Noriko,ABE Junya,11,25,0
388,YUAN Lingxi,ABE Junya,37,72,0
389,YURKIN Sergey,ABE Junya,37,33,7
390,ZAITSEVA Olesia,BASSO Paola,13,87,0
391,ZAMORA PEDREIRA Javier,ABE Katsuhiko,5,3,7
392,ZAMPIERI Francesca,BASSO Paola,13,196,0
393,ZHANG Xiaohuan,BAO Zhuang,13,72,0
394,ZIJP Simon,AIKMAN Siegfried Gottlieb,27,10,3
395,ZONDI Nkuliso,AIKMAN Siegfried Gottlieb,27,37,0
